Feature ID,Feature area,Feature,Description,Exact Yoast version,Free Premium extension or uncertain,Default enabled state,Yoast UI location,User roles allowed,Inputs,Stored data,Generated output,Runtime behavior,Analysis or scoring rules,Language limitations,Relevant API or hook,Official documentation,Source path or test,Black-box verification,EmDash current equivalent,Gap,Direct parity adapted equivalent not applicable or excluded,Recommended implementation,Dependencies,Risks,Acceptance criteria,Confidence,Open questions
YF-H08,SEO analysis,Keyphrase in image alt,Free SEO check: Keyphrase in image alt,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,KeyphraseInImageTextAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/KeyphraseInImageTextAssessment.js,Source verified,None,Missing,Direct parity required,KeyphraseInImageTextAssessment,Slice 5,Medium,Fixture match,High,
YF-H09,SEO analysis,Image count,Free SEO check: Image count,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,ImageCountAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/ImageCountAssessment.js,Source verified,None,Missing,Direct parity required,ImageCountAssessment,Slice 5,Medium,Fixture match,High,
YF-H10,SEO analysis,Text length,Free SEO check: Text length,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,TextLengthAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/TextLengthAssessment.js,Source verified,None,Missing,Direct parity required,TextLengthAssessment,Slice 5,Medium,Fixture match,High,
YF-H11,SEO analysis,Outbound links,Free SEO check: Outbound links,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,OutboundLinksAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/OutboundLinksAssessment.js,Source verified,None,Missing,Direct parity required,OutboundLinksAssessment,Slice 5,Medium,Fixture match,High,
YF-H12,SEO analysis,Keyphrase in SEO title,Free SEO check: Keyphrase in SEO title,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,KeyphraseInSEOTitleAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/KeyphraseInSEOTitleAssessment.js,Source verified,None,Missing,Direct parity required,KeyphraseInSEOTitleAssessment,Slice 5,Medium,Fixture match,High,
YF-H13,SEO analysis,Internal links,Free SEO check: Internal links,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,InternalLinksAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/InternalLinksAssessment.js,Source verified,None,Missing,Direct parity required,InternalLinksAssessment,Slice 5,Medium,Fixture match,High,
YF-H14,SEO analysis,SEO title width,Free SEO check: SEO title width,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,PageTitleWidthAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/PageTitleWidthAssessment.js,Source verified,None,Missing,Direct parity required,PageTitleWidthAssessment,Slice 5,Medium,Fixture match,High,
YF-H15,SEO analysis,Keyphrase in slug,Free SEO check: Keyphrase in slug,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,UrlKeywordAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/UrlKeywordAssessment.js,Source verified,None,Missing,Direct parity required,UrlKeywordAssessment,Slice 5,Medium,Fixture match,High,
YF-H16,SEO analysis,Function words in keyphrase,Free SEO check: Function words in keyphrase,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,FunctionWordsInKeyphraseAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/FunctionWordsInKeyphraseAssessment.js,Source verified,None,Missing,Direct parity required,FunctionWordsInKeyphraseAssessment,Slice 5,Medium,Fixture match,High,
YF-H17,SEO analysis,Single H1,Free SEO check: Single H1,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,SingleH1Assessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/SingleH1Assessment.js,Source verified,None,Missing,Direct parity required,SingleH1Assessment,Slice 5,Medium,Fixture match,High,
YF-I01,Readability,Subheading distribution,Free readability check: Subheading distribution,28.0,Free,When readability on,Editor Readability tab,Editor+,content,N/A,Feedback+score,Worker,SubheadingDistributionTooLongAssessment,6 langs full,yoastseo,https://developer.yoast.com/features/readability-analysis/,assessments/readability/SubheadingDistributionTooLongAssessment.js,Source verified,None,Missing,Direct parity required,SubheadingDistributionTooLongAssessment,Slice 6,Medium,Fixture match,High,
YF-I02,Readability,Paragraph length,Free readability check: Paragraph length,28.0,Free,When readability on,Editor Readability tab,Editor+,content,N/A,Feedback+score,Worker,ParagraphTooLongAssessment,6 langs full,yoastseo,https://developer.yoast.com/features/readability-analysis/,assessments/readability/ParagraphTooLongAssessment.js,Source verified,None,Missing,Direct parity required,ParagraphTooLongAssessment,Slice 6,Medium,Fixture match,High,
YF-I03,Readability,Sentence length,Free readability check: Sentence length,28.0,Free,When readability on,Editor Readability tab,Editor+,content,N/A,Feedback+score,Worker,SentenceLengthInTextAssessment,6 langs full,yoastseo,https://developer.yoast.com/features/readability-analysis/,assessments/readability/SentenceLengthInTextAssessment.js,Source verified,None,Missing,Direct parity required,SentenceLengthInTextAssessment,Slice 6,Medium,Fixture match,High,
YF-I04,Readability,Transition words,Free readability check: Transition words,28.0,Free,When readability on,Editor Readability tab,Editor+,content,N/A,Feedback+score,Worker,TransitionWordsAssessment,6 langs full,yoastseo,https://developer.yoast.com/features/readability-analysis/,assessments/readability/TransitionWordsAssessment.js,Source verified,None,Missing,Direct parity required,TransitionWordsAssessment,Slice 6,Medium,Fixture match,High,
YF-I05,Readability,Passive voice,Free readability check: Passive voice,28.0,Free,When readability on,Editor Readability tab,Editor+,content,N/A,Feedback+score,Worker,PassiveVoiceAssessment,6 langs full,yoastseo,https://developer.yoast.com/features/readability-analysis/,assessments/readability/PassiveVoiceAssessment.js,Source verified,None,Missing,Direct parity required,PassiveVoiceAssessment,Slice 6,Medium,Fixture match,High,
YF-I06,Readability,Text presence,Free readability check: Text presence,28.0,Free,When readability on,Editor Readability tab,Editor+,content,N/A,Feedback+score,Worker,TextPresenceAssessment,6 langs full,yoastseo,https://developer.yoast.com/features/readability-analysis/,assessments/readability/TextPresenceAssessment.js,Source verified,None,Missing,Direct parity required,TextPresenceAssessment,Slice 6,Medium,Fixture match,High,
YF-I07,Readability,Sentence beginnings,Free readability check: Sentence beginnings,28.0,Free,When readability on,Editor Readability tab,Editor+,content,N/A,Feedback+score,Worker,SentenceBeginningsAssessment,6 langs full,yoastseo,https://developer.yoast.com/features/readability-analysis/,assessments/readability/SentenceBeginningsAssessment.js,Source verified,None,Missing,Direct parity required,SentenceBeginningsAssessment,Slice 6,Medium,Fixture match,High,
YF-I08,Readability,Flesch Reading Ease,Aggregate readability metric,28.0,Free,On,Editor,Editor+,content,N/A,Numeric score,ReadabilityScoreAggregator,"en,nl,de,it,ru,fr,es",yoastseo,https://yoast.com/features/readability-analysis/,ReadabilityScoreAggregator.js,Source verified,None,Missing,Direct parity required,Aggregator,Slice 6,Low,,High,,
YF-G01,Editor,Focus keyphrase,Primary keyphrase input,28.0,Free,Empty,Editor SEO panel,Editor+,keyphrase,_yoast_wpseo_focuskw,Analysis,Triggers assessor,N/A,post meta,https://yoast.com/help/optimize-your-content-with-yoast-seo-sidebar/,WP meta,Source verified,None,Missing,Direct parity required,analysis input model,Slice 4,Low,,High,,
YF-G02,Editor,SEO title,Custom title,28.0,Free,Template,Search appearance,Editor+,title,seo_title,<title>,Override,N/A,_emdash_seo,https://yoast.com/help/,SeoPanel.tsx,EmDash verified,SeoPanel,No preview,Direct parity required,Slice 3,Low,SSR matches,High,,,
YF-G03,Editor,Meta description,Meta description,28.0,Free,Empty,Search appearance,Editor+,description,seo_description,meta description,Snippet,N/A,_emdash_seo,https://yoast.com/help/,SeoPanel.tsx,EmDash verified,SeoPanel,No preview,Direct parity required,Slice 3,Low,,High,,,
YF-G04,Editor,Canonical URL,Canonical,28.0,Free,Permalink,Advanced,Editor+,URL,seo_canonical,link rel=canonical,Override,N/A,_emdash_seo,https://yoast.com/help/,SeoPanel.tsx,EmDash verified,SeoPanel,Validation gaps,Direct parity required,Slice 1,Medium,,High,,,
YF-G05,Editor,Noindex,Hide from search,28.0,Free,index,Advanced,Editor+,noindex,seo_no_index,meta robots,Sitemap exclude,N/A,_emdash_seo,https://yoast.com/help/,SeoPanel.tsx,EmDash verified,noindex only,nofollow missing,Adapted equivalent,Slice 1,Low,,High,,,
YF-G08,Editor,Snippet preview,SERP preview,28.0,Free,Live,Search appearance,Editor+,title desc slug,N/A,Preview UI,Client,N/A,N/A,https://yoast.com/help/,search-metadata-previews,Source verified,None,Missing,Direct parity required,Slice 3,Low,,High,,,
YF-C02,Site identity,Title separator,Title separator char,28.0,Free,|,SEO settings,Administrator,separator,site settings,title,Template,N/A,wp_options,https://yoast.com/help/,SeoSettings.tsx,EmDash verified,SeoSettings,Complete,Already complete,None,N/A,Low,,High,,
YF-C03,Site identity,Default OG image,Fallback social image,28.0,Free,Empty,SEO settings,Administrator,image,site settings,og:image,Fallback,N/A,N/A,https://yoast.com/help/,SeoSettings.tsx,EmDash verified,SeoSettings,Complete,Already complete,None,N/A,Low,,High,,
YF-C05,Site identity,Google verification,Site verification meta,28.0,Free,Empty,SEO settings,Administrator,token,site settings,meta tag,Sitewide,N/A,N/A,https://yoast.com/help/,SeoSettings.tsx,EmDash verified,Google field,Complete,Already complete,None,N/A,Low,,High,,
YF-L01,Frontend,Title tag,Document title,28.0,Free,Template,N/A,Public,title,N/A,<title>,SSR,N/A,N/A,https://yoast.com/help/,EmDashHead.astro,Code verified,getSeoMeta+astro-seo-graph,Duplicate head risk,Adapted equivalent,EmDashHead only,Slice 1,High,Single title SSR,High,,
YF-L02,Frontend,Meta description,description meta,28.0,Free,Auto,N/A,Public,description,N/A,meta description,SSR,N/A,N/A,https://yoast.com/help/,seo-contributions.ts,Code verified,EmDashHead,Present,Direct parity required,Slice 1,Medium,,High,,,
YF-L07,Frontend,JSON-LD,Schema graph,28.0,Free,Auto,N/A,Public,schema,N/A,application/ld+json,SSR,Multiple types,N/A,https://developer.yoast.com/features/schema/,jsonld.ts,Code verified,BlogPosting/WebSite,Limited types,Adapted equivalent,Slice 8,Medium,,High,,,
YF-L08,Frontend,XML sitemap,Sitemap index,28.0,Free,On,N/A,Public,content,N/A,sitemap.xml,SSR,N/A,N/A,https://yoast.com/help/,sitemap.xml.ts,Code verified,Built-in,No tax/author,Adapted equivalent,Slice 10,Low,,High,,,
YF-P01,Premium boundary,Keyphrase distribution,Premium SEO assessment,28.0,Premium,Off Free,Editor,Editor+,keyphrase,N/A,Score,Not in Free assessor,N/A,N/A,https://yoast.com/features/seo-analysis/,KeyphraseDistributionAssessment.js,Source verified,None,Premium,Excluded,N/A,N/A,Low,Out of parity,High,,
YF-K01,List table,SEO score column,Post list SEO score,28.0,Free,When on,Posts list,Editor+,N/A,indexable,Column,Cached,N/A,N/A,https://yoast.com/help/,admin columns,Source verified,None,Missing,Adapted equivalent,Slice 11,Medium,,High,,,
YF-M01,Integrations,Google Site Kit,Site Kit integration,28.0,Free,Optional,Integrations,Administrator,OAuth,N/A,Widgets,WP only,N/A,N/A,https://yoast.com/help/,site-kit.php,Source verified,None,WP-specific,Not applicable,N/A,N/A,Low,,High,,
YF-B-Cor,Site features,Cornerstone content,Site feature: Cornerstone content,28.0,Free,On,Settings > Site features,Administrator,enable_cornerstone_content,wp_options,Varies,Per feature docs,N/A,N/A,wpseo,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php,Source verified,Partial or none,Gap varies,Adapted equivalent,See gap analysis,TBD,Varies,,Medium,
YF-B-Tex,Site features,Text link counter,Site feature: Text link counter,28.0,Free,On,Settings > Site features,Administrator,enable_text_link_counter,wp_options,Varies,Per feature docs,N/A,N/A,wpseo,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php,Source verified,Partial or none,Gap varies,Adapted equivalent,See gap analysis,TBD,Varies,,Medium,
YF-B-XML,Site features,XML sitemaps,Site feature: XML sitemaps,28.0,Free,On,Settings > Site features,Administrator,enable_xml_sitemap,wp_options,Varies,Per feature docs,N/A,N/A,wpseo,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php,Source verified,Partial or none,Gap varies,Adapted equivalent,See gap analysis,TBD,Varies,,Medium,
YF-B-RES,Site features,REST head endpoint,Site feature: REST head endpoint,28.0,Free,On,Settings > Site features,Administrator,enable_headless_rest_endpoints,wp_options,Varies,Per feature docs,N/A,N/A,wpseo,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php,Source verified,Partial or none,Gap varies,Adapted equivalent,See gap analysis,TBD,Varies,,Medium,
YF-B-Enh,Site features,Enhanced Slack sharing,Site feature: Enhanced Slack sharing,28.0,Free,On,Settings > Site features,Administrator,enable_enhanced_slack_sharing,wp_options,Varies,Per feature docs,N/A,N/A,wpseo,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php,Source verified,Partial or none,Gap varies,Adapted equivalent,See gap analysis,TBD,Varies,,Medium,
YF-B-Adm,Site features,Admin bar menu,Site feature: Admin bar menu,28.0,Free,On,Settings > Site features,Administrator,enable_admin_bar_menu,wp_options,Varies,Per feature docs,N/A,N/A,wpseo,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php,Source verified,Partial or none,Gap varies,Adapted equivalent,See gap analysis,TBD,Varies,,Medium,
YF-B-Sch,Site features,Schema framework,Site feature: Schema framework,28.0,Free,On,Settings > Site features,Administrator,schema,wp_options,Varies,Per feature docs,N/A,N/A,wpseo,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php,Source verified,Partial or none,Gap varies,Adapted equivalent,See gap analysis,TBD,Varies,,Medium,
YF-B-llm,Site features,llms.txt,Site feature: llms.txt,28.0,Free,On,Settings > Site features,Administrator,llms_txt,wp_options,Varies,Per feature docs,N/A,N/A,wpseo,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php,Source verified,Partial or none,Gap varies,Adapted equivalent,See gap analysis,TBD,Varies,,Medium,
YF-E01,Taxonomies,Category SEO title template,Title template for category archives,28.0,Free,Default,SEO > Taxonomies,Administrator,template,wp_options,<title> on archives,SSR,N/A,N/A,wpseo_titles,https://yoast.com/help/,inc/options,Source verified,None,No taxonomy SEO,Adapted equivalent,Taxonomy settings,Slice 2,Low,,High,
YF-E02,Taxonomies,Category meta description,Meta description for categories,28.0,Free,Default,SEO > Taxonomies,Administrator,template,wp_options,meta description,SSR,N/A,N/A,wpseo_titles,https://yoast.com/help/,inc/options,Source verified,None,Missing,Adapted equivalent,Slice 2,Low,,High,,
YF-E03,Taxonomies,Primary category,Primary category for breadcrumbs/schema,28.0,Free,Optional,Editor,Editor+,primary term,term meta,breadcrumb schema,Analysis,N/A,post meta,https://yoast.com/help/,primary term integration,Source verified,Terms exist,No primary flag,Adapted equivalent,Slice 8,Low,,Medium,,,
YF-F01,Advanced,Breadcrumbs,Breadcrumb markup + settings,28.0,Free,Off theme-dependent,SEO > Advanced,Administrator,templates,wp_options,BreadcrumbList JSON-LD,Theme hook,N/A,N/A,https://yoast.com/help/,src/generators/breadcrumbs,Source verified,None,No breadcrumbs,Adapted equivalent,Astro component,Slice 8,Medium,,High,,
YF-F02,Advanced,RSS before/after,Content appended to RSS,28.0,Free,Empty,SEO > RSS,Administrator,HTML snippets,wp_options,RSS items,feed filter,N/A,N/A,https://yoast.com/help/,class-wpseo-option-rss,Source verified,Basic RSS,No RSS SEO settings,Adapted equivalent,Slice 10,Low,,Medium,,,
YF-A08,Installation,WP SEO data import,Import from RankMath/AIOSEO,28.0,Free,Manual,Tools,Administrator,foreign data,post meta,Yoast fields,Import,N/A,import tools,https://yoast.com/help/,admin/import,Source verified,WP import partial,Partial,Adapted equivalent,Extend import,Slice 12,Medium,,High,,
YF-G11,Editor,Breadcrumb title,Custom breadcrumb label,28.0,Free,Post title,Editor Advanced,Editor+,text,post meta,BreadcrumbList,SSR,N/A,post meta,https://yoast.com/help/,meta keys,Source verified,None,Missing,Adapted equivalent,Slice 8,Low,,Medium,,,
YF-G12,Editor,Advanced robots,noindex/nofollow/noarchive etc,28.0,Free,index follow,Editor Advanced,Editor+*,flags,post meta,meta robots,SSR,N/A,post meta,https://yoast.com/help/,robots presenter,Source verified,noindex only,Partial,Adapted equivalent,Slice 1/8,Low,,High,,,
YF-J01,Inclusive language,Inclusive language assessments,~220 English rules,28.0,Free,Off,Editor IL tab,Editor+,content,N/A,feedback list,InclusiveLanguageAssessor,en only,yoastseo,https://yoa.st/inclusive-language-features-free,inclusiveLanguageAssessor.js,Source verified,None,Missing,Direct parity required,Slice 7,Medium,Local only,High,,,
YF-B06,Site features,Insights metabox,Word frequency insights,28.0,Uncertain,Unknown,Editor Insights,Editor+,content,N/A,Insights panel,N/A,N/A,enable_metabox_insights,https://yoa.st/4ew,feature-toggles:111,Not black-box tested,None,Unknown,Deferred,Confirm Free scope,N/A,Medium,,Low,Needs live WP,
YF-L11,Frontend,hreflang alternates,Alternate language links,28.0,Free,When multilingual,N/A,Public,translations,N/A,link rel=alternate,SSR,N/A,hreflang,https://yoast.com/help/,emdash hreflang.ts,EmDash verified,hreflang helper,Present,Already complete,Maintain,i18n,Low,,High,,
YF-L12,Frontend,llms.txt,LLM crawler file,28.0,Free,On,Virtual file,Public,settings,options,/llms.txt,HTTP,N/A,N/A,https://yoast.com/help/,src/llms-txt/,Source verified,None,Missing,Adapted equivalent,Slice 10,Low,,Medium,,,
YF-P04,Premium,Redirect manager,301 redirects UI,28.0,Premium,Premium plugin,Premium,Administrator,redirects,premium DB,redirects,HTTP,N/A,Premium,https://yoast.com/product/yoast-seo-premium/,Premium plugin,Source marketing,EmDash Redirects,Separate feature,Adapted equivalent,Existing Redirects,N/A,Low,Not Yoast parity,High,,
YF-M02,Integrations,Semrush,Keyphrase research,28.0,Free optional,Off,Editor,Editor+,API key,options,suggestions,Remote API,N/A,semrush route,https://yoast.com/help/,src/routes/semrush,Source verified,None,Commercial,Future extension point,Optional plugin,API key,Medium,,Medium,,
